Date,Close_Com60,Close_Com120,Close_Com240,K_Open,K_High,K_Low,K_Close
1996-03-29,597.959034,592.331392,566.865372,606.62791,614.77002,606.62791,610.155014
1996-04-01,598.615485,592.704917,567.524711,608.391462,615.179993,608.391462,611.887497
1996-04-02,599.459518,593.269507,568.222025,610.13948,616.02002,610.13948,614.3125
1996-04-03,600.321292,593.825327,568.922686,612.22599,618.77002,612.22599,615.777512
1996-04-04,601.205969,594.265245,569.611364,614.001751,620.590027,614.001751,618.105011
1996-04-08,602.43484,594.572704,570.248554,616.053381,618.0,612.019989,612.019989
1996-04-09,603.656937,594.909261,570.876488,614.036685,618.840027,612.587509,612.587509
1996-04-10,604.526453,595.242458,571.480124,613.312097,619.950012,612.069992,612.069992
1996-04-11,605.35484,595.362458,572.053389,612.691044,612.691044,605.689987,605.689987
1996-04-12,606.49371,595.420491,572.613265,609.190516,609.190516,604.577499,604.577499
1996-04-15,607.542582,595.500983,573.212562,606.884008,611.549988,606.884008,608.182495
1996-04-16,608.83984,595.780163,573.876033,607.533252,625.98999,607.533252,618.522506
1996-04-17,609.910647,596.005081,574.47843,613.027879,627.380005,613.027879,623.102509
1996-04-18,611.020324,596.326475,575.13686,618.065194,648.150024,618.065194,630.752518
1996-04-19,612.016453,596.725491,575.809215,624.408856,638.719971,624.408856,634.330002
1996-04-22,613.257421,597.232212,576.501405,629.369429,644.400024,629.369429,638.677506
1996-04-23,614.424356,597.731884,577.238967,634.023467,654.630005,634.023467,649.107498
1996-04-24,615.904194,598.19836,578.028761,641.565482,664.01001,641.565482,659.25
1996-04-25,617.34984,598.754917,578.801942,650.407741,666.840027,650.407741,663.880005
1996-04-26,618.808228,599.29377,579.560042,657.143873,669.73999,657.143873,666.887497
1996-04-29,620.147099,599.72254,580.306571,662.015685,668.309998,662.015685,666.480011
1996-04-30,621.355324,600.091556,581.032562,664.247848,667.039978,664.247848,665.889984
1996-05-01,622.508227,600.564015,581.770868,665.068916,673.880005,665.068916,669.827499
1996-05-02,623.400324,601.059917,582.468017,667.448208,673.549988,665.064987,665.064987
1996-05-03,624.135808,601.570983,583.175455,666.256598,670.23999,661.192489,661.192489
1996-05-06,624.84113,601.947868,583.869008,663.724544,665.070007,661.255005,661.255005
1996-05-07,625.579034,602.334835,584.520661,662.489775,665.599976,661.98999,661.98999
1996-05-08,626.219841,602.787376,585.194339,662.239882,663.530029,658.475021,658.475021
1996-05-09,626.857421,603.368196,585.859132,660.357452,666.690002,660.357452,663.30249
1996-05-10,627.619518,604.016229,586.588389,661.829971,672.590027,661.829971,667.55249
1996-05-13,628.748228,604.809835,587.441447,664.691231,688.76001,664.691231,680.589997
1996-05-14,630.003711,605.68377,588.298182,672.640614,697.48999,672.640614,692.490006
1996-05-15,631.131614,606.654999,589.121323,682.56531,700.650024,682.56531,694.095001
1996-05-16,632.360808,607.647049,589.958513,688.330156,695.27002,688.330156,691.155014
1996-05-17,633.554034,608.645164,590.743637,689.742585,699.549988,689.742585,694.104996
1996-05-20,634.618389,609.587377,591.562438,691.92379,696.830017,691.92379,692.930008
